City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
richards bay,-28.783,32.0377,16.14,80,1,2.87,clear sky
turukhansk,65.8167,87.9833,3.03,95,100,4.53,overcast clouds
bathsheba,13.2167,-59.5167,30.34,54,40,6.0,scattered clouds
tiznit,29.5833,-9.5,19.96,55,92,2.97,overcast clouds
fare,-16.7,-151.0167,27.0,71,91,6.32,overcast clouds
albany,42.6001,-73.9662,26.26,53,100,2.19,overcast clouds
birjand,32.8663,59.2211,29.26,11,20,3.09,few clouds
ler,8.3018,30.1418,27.76,58,100,1.17,overcast clouds
hermanus,-34.4187,19.2345,17.72,81,33,6.31,scattered clouds
puerto ayora,-0.7393,-90.3518,26.98,79,92,3.58,overcast clouds
new norfolk,-42.7826,147.0587,11.07,77,100,0.45,overcast clouds
buala,-8.145,159.5921,26.5,82,83,1.37,light rain
cherskiy,68.75,161.3,11.71,38,36,3.63,scattered clouds
geraldton,-28.7667,114.6,11.23,87,0,4.65,clear sky
gitega,-3.5,29.95,16.76,78,31,1.22,scattered clouds
mercedes,-34.6515,-59.4307,17.7,47,2,4.71,clear sky
constantine,36.365,6.6147,26.67,50,20,2.06,few clouds
khasan,42.4308,130.6434,12.92,99,100,3.24,moderate rain
hithadhoo,-0.6,73.0833,28.84,67,100,7.31,overcast clouds
rikitea,-23.1203,-134.9692,22.42,60,100,7.97,overcast clouds
upernavik,72.7868,-56.1549,0.02,82,100,3.35,overcast clouds
yellowknife,62.456,-114.3525,16.29,77,40,0.89,scattered clouds
bambous virieux,-20.3428,57.7575,24.56,69,40,8.01,scattered clouds
huilong,31.8111,121.655,22.8,98,100,0.42,overcast clouds
hilo,19.7297,-155.09,25.44,86,65,0.89,broken clouds
nanortalik,60.1432,-45.2371,4.78,79,100,6.23,overcast clouds
qaanaaq,77.484,-69.3632,-2.24,77,98,1.44,overcast clouds
lorengau,-2.0226,147.2712,25.22,92,100,1.05,overcast clouds
east london,-33.0153,27.9116,16.52,82,0,6.69,light rain
anton lizardo,19.05,-95.9833,32.34,61,5,3.73,clear sky
mataura,-46.1927,168.8643,9.71,97,24,1.15,few clouds
shetpe,44.1667,52.1167,26.12,44,0,2.78,clear sky
jamestown,42.097,-79.2353,21.4,49,75,4.63,broken clouds
sao joao da barra,-21.6403,-41.0511,29.05,77,1,4.35,clear sky
cedar city,37.6775,-113.0619,31.33,7,93,3.61,overcast clouds
galle,6.0367,80.217,27.04,82,85,5.95,overcast clouds
ixtapa,20.7,-105.2,36.3,34,100,4.33,overcast clouds
cabo san lucas,22.8909,-109.9124,34.17,48,29,2.73,scattered clouds
ushuaia,-54.8,-68.3,1.79,95,26,0.74,scattered clouds
hambantota,6.1241,81.1185,26.19,100,20,7.11,few clouds
ballitoville,-29.539,31.2144,17.08,72,75,6.25,light rain
saint-philippe,-21.3585,55.7679,23.77,84,97,6.94,light rain
saint-pierre,-21.3393,55.4781,23.82,79,0,10.29,clear sky
nemuro,43.3236,145.575,9.04,100,100,2.69,overcast clouds
touros,-5.1989,-35.4608,30.5,67,4,6.89,clear sky
port lincoln,-34.7333,135.8667,15.3,77,78,6.32,broken clouds
lockhart,28.6194,-81.4426,33.89,58,100,2.24,overcast clouds
tabas,33.5959,56.9244,36.25,9,0,3.77,clear sky
olinda,-8.0089,-34.8553,25.85,65,40,5.67,scattered clouds
payakumbuh,-0.2202,100.6308,20.69,97,53,1.23,moderate rain
punta arenas,-53.15,-70.9167,2.01,69,0,2.12,clear sky
sheregesh,52.9209,87.9869,12.33,95,60,1.35,broken clouds
manokwari,-0.8667,134.0833,25.86,85,100,3.97,overcast clouds
lebu,-37.6167,-73.65,13.46,91,100,4.11,overcast clouds
plettenberg bay,-34.0527,23.3716,14.51,83,100,3.0,light rain
santiago,-33.4569,-70.6483,23.43,38,8,1.59,clear sky
bengkulu,-3.8004,102.2655,25.06,86,94,1.93,overcast clouds
atuona,-9.8,-139.0333,26.68,72,100,7.12,overcast clouds
port elizabeth,-33.918,25.5701,16.16,77,20,7.72,moderate rain
pisco,-13.7,-76.2167,18.03,88,90,2.06,mist
aksu,41.1231,80.2644,23.18,36,100,5.68,overcast clouds
sao francisco,-15.9486,-44.8644,32.76,24,64,0.96,broken clouds
huanuco,-9.9329,-76.2415,24.2,56,99,3.61,overcast clouds
antalaha,-14.9003,50.2788,21.88,86,92,3.29,light rain
busselton,-33.65,115.3333,15.57,68,100,1.34,overcast clouds
acapulco,16.8634,-99.8901,31.95,56,96,3.97,overcast clouds
sola,-13.8833,167.55,26.33,80,100,11.05,overcast clouds
hobart,-42.8794,147.3294,11.26,77,40,0.45,light rain
alta floresta,-9.8756,-56.0861,34.9,31,20,2.06,few clouds
konakovo,56.7,36.7667,9.59,81,4,2.4,clear sky
victoria,22.2855,114.1577,29.62,90,100,3.15,overcast clouds
ponta do sol,32.6667,-17.1,19.51,54,95,4.34,overcast clouds
luderitz,-26.6481,15.1594,19.84,29,0,6.05,clear sky
port hardy,50.6996,-127.4199,16.1,88,75,3.09,broken clouds
arraial do cabo,-22.9661,-42.0278,26.98,73,0,4.63,clear sky
olafsvik,64.8945,-23.7142,7.53,77,36,5.78,scattered clouds
ribeira grande,38.5167,-28.7,18.22,55,20,4.12,few clouds
aripuana,-9.1667,-60.6333,33.82,29,0,1.22,clear sky
samarai,-10.6167,150.6667,25.7,82,100,5.44,overcast clouds
port alfred,-33.5906,26.891,16.31,79,99,8.89,overcast clouds
uberaba,-19.7483,-47.9319,28.32,39,40,2.57,moderate rain
de-kastri,51.4667,140.7833,7.1,97,100,1.78,overcast clouds
berlevag,70.8578,29.0864,16.97,48,0,5.14,clear sky
kismayo,-0.3582,42.5454,25.64,80,92,6.04,overcast clouds
mahebourg,-20.4081,57.7,24.58,69,40,5.66,scattered clouds
grindavik,63.8424,-22.4338,9.2,66,40,4.41,scattered clouds
brewster,41.3973,-73.6171,25.71,60,100,0.45,overcast clouds
loxstedt,53.4667,8.65,23.95,87,1,3.55,clear sky
meulaboh,4.1363,96.1285,25.73,88,100,1.35,overcast clouds
kaili,-3.4626,120.2147,19.55,88,92,1.22,overcast clouds
skjervoy,70.0311,20.9714,13.1,79,8,0.75,clear sky
codrington,-38.2667,141.9667,9.5,87,39,3.11,scattered clouds
saint george,37.1041,-113.5841,37.52,12,88,0.89,overcast clouds
vila,42.0304,-8.1588,15.0,88,100,4.02,overcast clouds
maceio,-9.6658,-35.7353,27.69,74,75,4.32,broken clouds
terrace,54.5163,-128.6035,14.95,94,90,4.12,light rain
sinnamary,5.3833,-52.95,27.71,80,73,3.34,broken clouds
flinders,-34.5833,150.8552,12.43,83,100,0.45,light rain
havre-saint-pierre,50.2334,-63.5986,11.82,67,38,10.37,scattered clouds
gat,31.61,34.7642,22.67,100,0,3.6,clear sky
iberia,29.9502,-91.7507,31.65,63,100,4.27,overcast clouds
verkhnyaya inta,65.9811,60.3094,1.34,85,100,7.25,overcast clouds
kodiak,57.79,-152.4072,8.73,87,90,2.57,light rain
rawson,-43.3002,-65.1023,9.98,52,100,5.54,overcast clouds
tevriz,57.509,72.4042,9.4,73,13,2.22,few clouds
auch,43.65,0.5833,23.35,78,90,3.58,overcast clouds
kalmunai,7.4167,81.8167,27.41,82,94,1.78,overcast clouds
san patricio,28.017,-97.5169,32.26,54,34,3.55,scattered clouds
mendoza,-32.8908,-68.8272,17.74,42,0,1.54,clear sky
natal,-5.795,-35.2094,30.36,51,40,5.67,scattered clouds
zhezkazgan,47.8043,67.7144,21.71,53,70,2.54,broken clouds
nikolskoye,59.7035,30.7861,16.94,75,35,2.41,scattered clouds
skelleftea,64.7507,20.9528,22.2,52,30,0.45,scattered clouds
carutapera,-1.195,-46.02,27.78,81,16,3.64,few clouds
kutum,14.2,24.6667,31.16,17,100,1.56,overcast clouds
gizo,-8.103,156.8419,27.36,79,96,3.57,overcast clouds
tuktoyaktuk,69.4541,-133.0374,1.59,75,99,4.57,overcast clouds
revda,56.801,59.9303,15.45,61,100,1.15,overcast clouds
bethel,41.3712,-73.414,26.58,60,100,4.39,overcast clouds
kattivakkam,13.2167,80.3167,30.04,91,9,4.56,clear sky
norman wells,65.282,-126.8329,7.95,78,100,2.34,overcast clouds
khatanga,71.9667,102.5,0.71,86,100,1.27,overcast clouds
port macquarie,-31.4333,152.9167,11.32,77,92,2.65,light rain
yantal,56.8471,105.2542,13.19,50,40,0.49,scattered clouds
shirwal,18.1333,73.9833,22.42,92,100,2.65,overcast clouds
tortoli,39.9256,9.6572,21.66,89,31,1.49,scattered clouds
mar del plata,-38.0023,-57.5575,13.89,56,40,0.89,scattered clouds
constitucion,-35.3333,-72.4167,17.34,68,24,5.31,few clouds
san quintin,30.4833,-115.95,20.02,66,7,4.76,clear sky
altay,47.8667,88.1167,19.51,46,93,2.42,overcast clouds
kristiansund,63.1115,7.732,20.03,48,0,4.12,clear sky
lensk,60.7253,114.9278,14.47,73,54,1.75,broken clouds
salinas,36.6777,-121.6555,27.89,48,8,3.57,clear sky
esperance,-33.8667,121.9,13.91,74,73,3.79,broken clouds
namatanai,-3.6667,152.4333,25.66,84,83,1.76,broken clouds
kahului,20.8947,-156.47,28.25,63,16,2.24,few clouds
chuy,-33.6971,-53.4616,17.0,59,78,5.83,broken clouds
narsaq,60.9167,-46.05,7.27,63,100,6.0,overcast clouds
sao gabriel da cachoeira,-0.1303,-67.0892,30.27,64,80,1.24,light rain
ayorou,14.7308,0.9174,37.71,17,8,4.35,clear sky
bredasdorp,-34.5322,20.0403,13.62,88,38,4.21,scattered clouds
kasongo-lunda,-6.4667,16.8167,22.69,45,17,0.03,few clouds
bosaso,11.2842,49.1816,31.31,65,100,1.82,overcast clouds
egvekinot,66.3167,-179.1667,-2.37,67,15,0.75,few clouds
mwingi,-0.9344,38.0601,20.55,65,45,4.21,scattered clouds
cockburn town,21.4612,-71.1419,26.66,76,100,8.47,overcast clouds
lundazi,-12.2929,33.1782,17.4,77,13,2.99,few clouds
tomatlan,19.9333,-105.25,35.73,37,100,3.91,overcast clouds
tasiilaq,65.6145,-37.6368,2.73,82,30,2.66,scattered clouds
usoke,-5.1667,32.35,20.14,58,9,1.31,clear sky
thompson,55.7435,-97.8558,22.58,43,99,4.3,overcast clouds
benin,9.5,2.25,29.72,53,83,2.55,broken clouds
barrow,71.2906,-156.7887,-1.99,74,90,8.23,overcast clouds
belmonte,-15.8631,-38.8828,27.28,69,3,4.1,clear sky
yurginskoye,56.8189,67.3921,13.63,54,100,4.18,overcast clouds
marienburg,54.0359,19.0266,15.81,80,80,2.98,broken clouds
castro,-24.7911,-50.0119,19.75,76,24,3.31,few clouds
ahipara,-35.1667,173.1667,13.64,77,100,2.49,overcast clouds
tervel,43.75,27.4,12.54,92,100,1.23,overcast clouds
butaritari,3.0707,172.7902,28.3,78,100,6.94,light rain
carnarvon,-24.8667,113.6333,17.88,51,100,7.52,overcast clouds
longyearbyen,78.2186,15.6401,2.43,97,100,9.68,light rain
beringovskiy,63.05,179.3167,-0.06,79,24,3.5,few clouds
cidreira,-30.1811,-50.2056,19.98,71,100,4.33,overcast clouds
margate,51.3813,1.3862,19.3,57,19,0.45,few clouds
port shepstone,-30.7414,30.455,18.08,91,100,13.37,heavy intensity rain
sorland,67.667,12.6934,19.04,69,14,2.56,few clouds
tukan,53.8409,57.4552,13.53,99,100,0.92,heavy intensity rain
tyumentsevo,53.3224,81.498,18.38,85,75,3.15,broken clouds
deputatskiy,69.3,139.9,12.26,34,52,1.19,broken clouds
vaini,-21.2,-175.2,22.71,63,72,5.4,broken clouds
waingapu,-9.6567,120.2641,24.34,86,3,3.06,clear sky
velizh,55.6056,31.1967,12.44,75,62,2.29,broken clouds
tartagal,-22.5164,-63.8013,25.42,46,0,3.24,clear sky
chapais,49.7834,-74.8492,22.4,36,96,3.32,overcast clouds
dikson,73.5069,80.5464,-5.13,93,31,2.45,scattered clouds
avarua,-21.2078,-159.775,25.03,69,65,6.17,broken clouds
ostrovnoy,68.0531,39.5131,7.03,88,80,1.6,broken clouds
bealanana,-14.55,48.7333,15.64,98,100,1.73,overcast clouds
nosy varika,-20.5833,48.5333,20.85,87,27,1.72,scattered clouds
buchanan,5.8808,-10.0467,26.45,85,83,3.65,light rain
bosanski samac,45.0592,18.4669,18.97,63,100,0.87,overcast clouds
husavik,66.0449,-17.3389,12.95,77,38,2.29,scattered clouds
sumbe,-11.2061,13.8437,24.56,85,0,1.0,clear sky
iskateley,67.6803,53.1512,2.22,76,13,7.57,few clouds
umm lajj,25.0213,37.2685,30.1,56,4,3.68,clear sky
georgetown,5.4112,100.3354,28.27,84,20,1.11,few clouds
kaitangata,-46.2817,169.8464,5.85,90,13,3.03,few clouds
auki,-8.7676,160.7034,24.62,93,99,2.23,moderate rain
katsuura,35.1333,140.3,20.62,83,4,3.91,clear sky
ancud,-41.8697,-73.8203,10.13,93,100,5.0,moderate rain
beni,0.5,29.4667,17.25,99,100,1.48,light rain
mabaruma,8.2,-59.7833,28.32,68,58,3.11,broken clouds
cape town,-33.9258,18.4232,16.23,81,0,2.24,clear sky
aklavik,68.2191,-135.0107,2.97,81,100,2.09,overcast clouds
beloeil,45.5668,-73.1992,27.42,31,1,2.24,clear sky
lagoa,39.05,-27.9833,15.26,63,42,3.04,scattered clouds
kruisfontein,-34.0033,24.7314,13.27,93,100,5.95,heavy intensity rain
baden-baden,48.75,8.25,24.6,44,0,0.29,clear sky
werda,-25.2667,23.2833,11.77,41,0,3.86,clear sky
saskylakh,71.9167,114.0833,1.67,89,100,8.47,overcast clouds
nouakchott,18.0858,-15.9785,23.96,62,89,10.08,overcast clouds
camana,-16.6228,-72.7111,19.59,76,27,2.64,scattered clouds
laguna,38.421,-121.4238,37.03,41,6,1.79,clear sky
winchester,51.0651,-1.3187,22.02,77,40,0.45,scattered clouds
oum hadjer,13.2954,19.6966,36.43,18,99,4.22,overcast clouds
davila,18.4726,120.5763,29.47,74,97,1.23,overcast clouds
diamantino,-14.4086,-56.4461,33.38,30,25,2.55,scattered clouds
bahia honda,22.9036,-83.1592,28.32,67,79,3.33,light rain
kapaa,22.0752,-159.319,27.29,74,68,1.79,broken clouds
la ronge,55.1001,-105.2842,24.57,39,100,3.92,overcast clouds
suntar,62.1444,117.6319,14.41,71,91,2.51,overcast clouds
zambezi,-13.5432,23.1047,17.25,46,55,1.98,broken clouds
ambulu,-8.345,113.6058,23.0,86,85,1.15,overcast clouds
kavieng,-2.5744,150.7967,27.01,79,100,2.66,light rain
roma,43.2128,-75.4557,23.57,61,75,5.66,broken clouds
yeppoon,-23.1333,150.7333,16.88,86,6,1.26,clear sky
keighley,53.8679,-1.9066,21.75,55,0,5.38,clear sky
puerto escondido,15.85,-97.0667,31.08,63,27,4.4,scattered clouds
banjar,-8.19,114.9675,25.92,90,91,1.3,overcast clouds
anloga,5.7947,0.8973,28.19,78,99,5.18,overcast clouds
anadyr,64.75,177.4833,0.56,69,34,2.68,scattered clouds
ust-tsilma,65.441,52.1498,5.92,86,100,4.76,overcast clouds
saldanha,-33.0117,17.9442,16.03,84,51,7.54,broken clouds
medea,36.2642,2.7539,17.25,54,100,1.29,overcast clouds
solnechnyy,50.7214,136.6319,8.49,93,73,1.85,broken clouds
tongchuan,35.0806,109.0897,18.54,47,100,3.33,overcast clouds
archidona,37.0965,-4.3887,26.9,39,0,2.74,clear sky
scarborough,54.2797,-0.4044,14.74,87,99,0.89,overcast clouds
faya,18.3851,42.4509,23.51,20,84,3.8,broken clouds
clyde river,70.4692,-68.5914,-0.57,87,100,2.36,overcast clouds
nadym,65.5333,72.5167,3.42,64,99,4.67,overcast clouds
pevek,69.7008,170.3133,0.25,73,19,0.98,few clouds
tadine,-21.55,167.8833,21.1,62,100,3.51,overcast clouds
poum,-20.2333,164.0167,22.32,63,84,4.78,broken clouds
nome,64.5011,-165.4064,6.2,53,12,1.13,few clouds
whitianga,-36.8333,175.7,10.57,82,79,1.95,broken clouds
prince george,53.9166,-122.753,23.33,56,1,4.12,clear sky
batagay-alyta,67.8006,130.4114,12.98,44,17,1.6,few clouds
hualmay,-11.0964,-77.6139,20.82,71,75,3.42,broken clouds
naryan-mar,67.6713,53.087,2.33,76,13,7.59,few clouds
oranjemund,-28.55,16.4333,15.06,61,0,5.88,clear sky
hervey bay,-25.2986,152.8535,19.46,75,29,1.11,scattered clouds
raga,8.4596,25.678,22.68,79,100,2.33,overcast clouds
port-gentil,-0.7193,8.7815,26.1,78,100,3.24,overcast clouds
paka,4.6374,103.4368,26.56,87,99,2.92,overcast clouds
airai,-8.9266,125.4092,13.04,89,42,1.27,scattered clouds
bedele,8.456,36.353,13.59,98,100,0.7,moderate rain
leningradskiy,69.3833,178.4167,-2.7,91,36,4.4,scattered clouds
portland,45.5234,-122.6762,30.45,49,0,0.45,clear sky
sabang,5.8933,95.3214,28.34,75,96,3.9,overcast clouds
port hawkesbury,45.6169,-61.3485,24.95,56,2,5.52,clear sky
krk,45.0258,14.5731,18.55,70,0,0.92,clear sky
ambon,-3.6954,128.1814,26.15,87,68,3.53,light rain
punta alta,-38.8759,-62.0736,12.06,48,100,3.92,overcast clouds
khandyga,62.6667,135.6,9.61,87,73,0.79,light rain
pangnirtung,66.1451,-65.7125,2.1,99,100,0.94,light rain
yima,34.7381,111.8839,20.14,63,100,4.34,overcast clouds
juelsminde,55.7088,10.0167,15.75,86,2,6.64,clear sky
araguaina,-7.1911,-48.2072,30.67,49,90,1.88,overcast clouds
labuan,5.2767,115.2417,27.09,76,100,1.7,light rain
fortuna,40.5982,-124.1573,30.82,89,90,4.63,overcast clouds
cascais,38.6979,-9.4215,18.67,67,20,5.81,few clouds
lima,-12.0432,-77.0282,19.94,74,90,3.09,overcast clouds
tigzirt,36.8886,4.1198,20.64,65,83,1.76,broken clouds
aswan,24.0934,32.907,34.55,13,1,8.73,clear sky
brigantine,39.4101,-74.3646,25.71,85,100,4.81,overcast clouds
coihaique,-45.5752,-72.0662,5.1,94,100,1.86,overcast clouds
walvis bay,-22.9575,14.5053,17.83,33,0,5.61,clear sky
dengzhou,37.8086,120.7508,16.2,97,100,2.59,light rain
rieti,42.4072,12.8592,20.12,72,48,0.66,scattered clouds
zamora,-4.0692,-78.9567,26.4,74,57,1.85,light rain
padang,-0.9492,100.3543,25.66,87,87,2.01,light rain
verkhnevilyuysk,63.4453,120.3167,12.76,80,100,2.43,overcast clouds
acarau,-2.8856,-40.12,28.24,74,13,6.2,few clouds
biltine,14.5333,20.9167,33.49,17,100,0.94,overcast clouds
celestun,20.8667,-90.4,30.65,60,25,5.93,scattered clouds
male,4.1748,73.5089,28.49,69,58,7.61,broken clouds
bluff,-46.6,168.3333,9.89,82,100,4.95,overcast clouds
asfi,32.2994,-9.2372,19.05,71,1,8.23,clear sky
acari,-15.4311,-74.6158,24.41,55,100,3.91,overcast clouds
caravelas,-17.7125,-39.2481,25.42,71,90,3.14,overcast clouds
tilichiki,60.4667,166.1,6.58,66,17,0.76,few clouds
altona,53.55,9.9333,22.81,51,20,4.12,few clouds
qandala,11.472,49.8728,30.78,69,100,2.29,light rain
busko-zdroj,50.4708,20.7188,15.05,67,100,2.9,overcast clouds
bara,10.3744,10.7288,30.94,42,17,2.45,light rain
sangar,63.9242,127.4739,10.31,73,7,1.37,clear sky
maldonado,-34.6667,-54.9167,12.9,70,6,6.11,clear sky
henties bay,-22.116,14.2845,17.7,55,0,3.81,clear sky
hami,42.8,93.45,24.44,9,0,5.39,clear sky
ornskoldsvik,63.2909,18.7153,17.9,51,10,2.07,clear sky
hamilton,39.1834,-84.5333,19.56,95,100,0.89,overcast clouds
balkhash,46.844,74.9804,23.33,49,100,7.2,overcast clouds
fukue,32.6881,128.8419,20.15,91,100,10.17,light rain
bure,10.7,37.0667,16.36,81,100,1.64,light rain
haapiti,-17.5667,-149.8667,27.85,66,82,4.06,broken clouds
ust-kuyga,70.0167,135.6,16.34,49,100,2.24,overcast clouds
komsomolskiy,40.4272,71.7189,26.4,27,40,3.09,scattered clouds
nabire,-3.3667,135.4833,24.13,92,55,1.6,broken clouds
worcester,42.3334,-71.8328,27.32,41,100,0.45,overcast clouds
kongolo,-5.3833,27.0,23.93,61,81,1.11,broken clouds
yenagoa,4.9247,6.2642,25.34,88,95,2.72,overcast clouds
quang ngai,15.1167,108.8,26.39,74,73,1.63,broken clouds
namibe,-15.1961,12.1522,22.25,82,88,3.03,overcast clouds
chekhov,55.1431,37.4711,16.13,81,51,3.28,broken clouds
awjilah,29.1081,21.2869,30.23,24,5,4.94,clear sky
dandong,40.1292,124.3947,15.92,98,100,4.48,light rain
severo-kurilsk,50.6789,156.125,4.73,91,25,4.04,scattered clouds
wenling,28.3669,121.36,25.51,99,85,3.48,overcast clouds
orlik,52.5178,99.825,8.11,45,96,1.11,overcast clouds
ilulissat,69.2167,-51.1,6.01,56,1,3.6,clear sky
bilma,18.6853,12.9164,35.15,9,15,1.88,few clouds
faanui,-16.4833,-151.75,26.97,71,100,6.08,overcast clouds
grants pass,42.439,-123.3284,32.56,36,1,0.45,clear sky
keti bandar,24.1447,67.4497,28.99,78,60,6.08,broken clouds
malakal,9.5334,31.6605,30.44,50,100,2.27,light rain
pangody,65.85,74.4859,1.85,66,51,3.27,broken clouds
atar,20.5169,-13.0499,33.53,30,100,8.2,overcast clouds
aloleng,16.1307,119.7824,25.97,90,100,6.17,overcast clouds
fairbanks,64.8378,-147.7164,16.72,63,100,0.45,light rain
chara,56.9064,118.2631,9.93,67,59,2.95,broken clouds
bouna,9.2667,-3.0,29.43,55,56,2.55,broken clouds
guerrero negro,27.9769,-114.0611,22.11,53,7,5.91,clear sky
glendive,47.1053,-104.7125,29.83,30,1,0.0,clear sky
goderich,43.7501,-81.7165,25.11,59,100,1.53,overcast clouds
santa rosa,14.3122,121.1114,27.73,94,100,3.22,light rain
eyl,7.9803,49.8164,26.84,76,60,8.75,broken clouds
bideford,51.0179,-4.2046,19.91,94,92,3.32,overcast clouds
la peca,-5.6111,-78.435,29.12,52,75,0.88,light rain
katherine,-14.4667,132.2667,22.18,73,90,3.06,overcast clouds
te anau,-45.4167,167.7167,6.01,93,49,0.65,scattered clouds
casa nova,-9.4167,-41.1333,30.78,43,78,4.46,broken clouds
saint-francois,46.4154,3.9054,20.38,83,0,1.54,clear sky
ambilobe,-13.2,49.05,23.46,69,91,1.7,overcast clouds
saint anthony,45.0205,-93.218,28.08,44,1,2.68,clear sky
togur,58.3631,82.8265,8.39,63,96,1.07,overcast clouds
vanimo,-2.6741,141.3028,24.69,87,100,1.47,overcast clouds
blankenburg,51.7833,10.95,15.76,85,100,2.65,overcast clouds
neuquen,-38.9516,-68.0591,12.94,44,0,1.03,clear sky
mina,26.0011,-100.5299,30.82,57,93,3.74,overcast clouds
jiuquan,39.7432,98.5174,13.41,14,5,3.34,clear sky
